,audio,ground_truth,prediction,WER,prompt_type
0,02000010001_chunk_019.wav,और सामने जो मुझे दिख रही हैं,और सामने जो मुझे दिख रही हैं,0,two-shot
1,02000010001_chunk_028.wav,तो ये,तो ये,0,two-shot
17,02000100001_chunk_287.wav,और तीसरा,और तीसरा,0,two-shot
9,02000100001_chunk_040.wav,और इससे भी आप फल जब होते थे तो पिताजी को,और इससे भी फल जब होते थे तो पिताजी को,0.090909,two-shot
4,02000010001_chunk_079.wav,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीला फूल देगी.,0.125,two-shot
7,02000100001_chunk_008.wav,इस वीडियो को शुरू करने से पहले हम आपको एक अप्प...,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप क...,0.125,two-shot
19,02000100001_chunk_307.wav,और अगर खेती के बारे में चाहिए और भी ज्ञान तो इ...,और अगर खेती के बारे में चाहिए और भी ज्ञान तो इ...,0.16,two-shot
14,02000100001_chunk_175.wav,और उसको एडवांस में पर्चेज करते रखना सो थाट की ...,"और उसको एडवांस में पर्चेज करके रखना, सो दैट की...",0.166667,two-shot
8,02000100001_chunk_033.wav,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर क...,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाके क...,0.208333,two-shot
10,02000100001_chunk_083.wav,जिस लीची के बाग को हम छह लाख सात लाख में बेचते...,"जिस लीची के बाग को हम छे लाख, सात लाख में बेचत...",0.21875,two-shot
11,02000100001_chunk_089.wav,डिपेंडिंग उपों डिस्टेंस पाइप का डायमीटर चेंज,डिपेंडिंग अपॉन डिस्टेंस पाइप का डायमीटर चेंज.,0.285714,two-shot
5,02000010001_chunk_102.wav,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,मुझे ये साइज काफी अच्छा लगता है.,0.333333,two-shot
2,02000010001_chunk_032.wav,लाइन में रो में बड़े बड़े पड़े हुए हैं,"लाइन में, रो में बड़े बड़े पेड़ पड़े हुए हैं.",0.333333,two-shot
15,02000100001_chunk_212.wav,क्योंकि उससे हमको प्रीमियम चाहिए,क्योंकि उसेंको प्रीमियम चाहिए,0.4,two-shot
12,02000100001_chunk_122.wav,और बाकी कोई चीज में नही देना है है,और बाकी कोई चीज में नहीं देना.,0.444444,two-shot
13,02000100001_chunk_160.wav,डी बोरवेल पम्प जिसमें,डीप बोरवेल पंप जिसमें,0.5,two-shot
16,02000100001_chunk_217.wav,बैंगलोर भेजे हैं और,बैंगलोर भेजे हैं.,0.5,two-shot
18,02000100001_chunk_299.wav,इनकम हो सकता है,इंकम हो सकता है.,0.5,two-shot
6,02000010001_chunk_241.,,,,
