"Serial No","audio","ground_truth","prediction","WER","prompt_type"
18,"02000100001_chunk_299.wav","इनकम हो सकता है","इनकम हो सकता है",0,"zero-shot"
7,"02000100001_chunk_008.wav","इस वीडियो को शुरू करने से पहले हम आपको एक अप्प...","इस वीडियो को शुरू करने से पहले हम आपको एक ऐप क...",0.125,"zero-shot"
19,"02000100001_chunk_307.wav","और अगर खेती के बारे में चाहिए और भी ज्ञान तो इ...","और अगर खेती के बारे में चाहिए और भी ज्ञान तो इ...",0.16,"zero-shot"
10,"02000100001_chunk_083.wav","जिस लीची के बाग को हम छह लाख सात लाख में बेचते...","जिस लीची के बाग को हम छह लाख-सात लाख में बेचते...",0.1875,"zero-shot"
16,"02000100001_chunk_217.wav","बैंगलोर भेजे हैं और","बैंगलोर भेजे हैं",0.25,"zero-shot"
11,"02000100001_chunk_089.wav","डिपेंडिंग उपों डिस्टेंस पाइप का डायमीटर चेंज","डिपेंडिंग अपॉन डिस्टेंस पाइप का डायमीटर चेंज.",0.285714,"zero-shot"
14,"02000100001_chunk_175.wav","और उसको एडवांस में पर्चेज करते रखना सो थाट की ...","और उसको एडवांस में पर्चेस करके रखना, जो कि पीक...",0.472222,"zero-shot"
2,"02000010001_chunk_032.wav","लाइन में रो में बड़े बड़े पड़े हुए हैं","लाइन में, रो में बड़े-बड़े पेड़ पड़े हुए।",0.555556,"zero-shot"
6,"02000010001_chunk_241.wav","ये मैं पेंट जो मेरे छत का पेंट का कलर मैं चूज़...","यह मैं छत का पेंट का कलर जो चूज करती हूं, वो क...",0.666667,"zero-shot"
13,"02000100001_chunk_160.wav","डी बोरवेल पम्प जिसमें","डीप बोरवेल पंप।",0.75,"zero-shot"
12,"02000100001_chunk_122.wav","और बाकी कोई चीज में नही देना है है","اور باقی کوئی چیز میں نہیں دینا۔",1,"zero-shot"
3,"02000010001_chunk_062.wav","इसका ये","Skalje.",1,"zero-shot"
15,"02000100001_chunk_212.wav","क्योंकि उससे हमको प्रीमियम चाहिए","Kookii osemko prijemčajge?",1,"zero-shot"
5,"02000010001_chunk_102.wav","मुझे ये पर्सनली ये साइज काफी अच्छा लगता है","مجھیں یہ سائز کافی اچھا لگتا ہے۔",1,"zero-shot"
1,"02000010001_chunk_028.wav","तो ये","To jest",1,"zero-shot"
0,"02000010001_chunk_019.wav","और सामने जो मुझे दिख रही हैं","سامنے جو مجھے دکھ رہی ہیں.",1,"zero-shot"
8,"02000100001_chunk_033.wav","तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर क...","تو بچپن سے ہی میری خواہش تھی کہ ہم گھر پہ جا ک...",1,"zero-shot"
17,"02000100001_chunk_287.wav","और तीसरा","اور تیسرا",1,"zero-shot"
9,"02000100001_chunk_040.wav","और इससे भी आप फल जब होते थे तो पिताजी को","اور اس سے بھی پھل جب ہوتے تھے تو پتا جی کو۔",1.090909,"zero-shot"
4,"02000010001_chunk_079.wav","सर्दियों में खूब अच्छे से पीला फूल देगी","سردیوں میں خوب اچھے سے پیلا پھول دے گی۔",1.125,"zero-shot"
